"filename", "language", "Cairo", "comment", "blank", "total"
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/channel.cairo", "Cairo", 309, 11, 59, 379
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/circle.cairo", "Cairo", 329, 33, 74, 436
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/circle_mul_table.cairo", "Cairo", 374, 5, 12, 391
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/fields.cairo", "Cairo", 66, 6, 21, 93
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/fields/cm31.cairo", "Cairo", 132, 2, 25, 159
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/fields/m31.cairo", "Cairo", 235, 4, 56, 295
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/fields/qm31.cairo", "Cairo", 383, 36, 75, 494
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/fri.cairo", "Cairo", 1475, 89, 136, 1700
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/lib.cairo", "Cairo", 16, 4, 6, 26
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/pcs.cairo", "Cairo", 7, 0, 2, 9
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/pcs/quotients.cairo", "Cairo", 574, 63, 79, 716
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/pcs/verifier.cairo", "Cairo", 187, 19, 38, 244
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/poly.cairo", "Cairo", 3, 0, 2, 5
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/poly/circle.cairo", "Cairo", 109, 33, 22, 164
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/poly/line.cairo", "Cairo", 290, 62, 51, 403
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/poly/utils.cairo", "Cairo", 26, 18, 5, 49
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/queries.cairo", "Cairo", 190, 11, 14, 215
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/utils.cairo", "Cairo", 222, 15, 36, 273
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/vcs.cairo", "Cairo", 2, 0, 1, 3
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/vcs/hasher.cairo", "Cairo", 83, 19, 17, 119
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/vcs/verifier.cairo", "Cairo", 280, 42, 35, 357
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/src/verifier.cairo", "Cairo", 99, 17, 22, 138
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/tests/verifier.cairo", "Cairo", 100, 4, 17, 121
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/tests/verifier/fib_128_column_with_blowup_16_proof.cairo", "Cairo", 6, 0, 1, 7
"/home/alonf/workspace/stwo-cairo/stwo_cairo_verifier/crates/verifier_core/tests/verifier/fib_128_column_with_blowup_2_proof.cairo", "Cairo", 6, 0, 1, 7
"Total", "-", 5503, 493, 807, 6803